,,,,,,,,,Date,count
,,,Z-Kat,2,,,,,2003,3
,,,Strykper Coorporation,2,,,,,2006,4
,,,MAKO,55,,,,,2007,7
,,,,,,,,,2008,1
,,,,,,,,,2009,5
,,,,,,,,,2010,9
,,,,,,,,,2010,4
,,,,,,,,,2012,3
,,,,,,,,,2013,2
,,,,,,,,,2014,2
,,,,,,,,,2015,4
,,,,,,,,,2016,2
,,,,,,,,,2017,9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MAKO patents per year,,,,,,,,,,
2002,3,,,,,,,,,
2003,6,,,,,,,,,
2004,6,,,,,,,,,
2005,3,,,,,,,,,
2006,35,,,,,,,,,
2007,74,,,,,,,,,
2008,34,,,,,,,,,
2009,72,,,,,,,,,
2010,27,,,,,,,,,
2011,41,,,,,,,,,
2012,68,,,,,,,,,
2013,56,,,,,,,,,
2014,50,,,,,,,,,
2015,31,,,,,,,,,
2016,88,,,,,,,,,
2017,78,,,,,,,,,
2018,51,,,,,,,,,
2019,52,,,,,,,,,
2020,1,,,,,,,,,
,776,,,,,,,,,